title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Interstellar,2h 49min,"Adventure,Drama,Sci-Fi",Christopher Nolan,"Jonathan Nolan,Christopher Nolan","Matthew McConaughey,Anne Hathaway,Jessica Chastain",8.6,"1,104,845"
The Green Mile,3h 9min,"Crime,Drama,Fantasy",Frank Darabont,"Stephen King,Frank Darabont","Tom Hanks,Michael Clarke Duncan,David Morse",8.5,"885,577"
Psycho,1h 49min,"Horror,Mystery,Thriller",Alfred Hitchcock,"Joseph Stefano,Robert Bloch","Anthony Perkins,Janet Leigh,Vera Miles",8.5,"472,148"
Casablanca,1h 42min,"Drama,Romance,War",Michael Curtiz,"Julius J. Epstein,Philip G. Epstein","Humphrey Bogart,Ingrid Bergman,Paul Henreid",8.5,"426,097"
City Lights,1h 27min,"Comedy,Drama,Romance",Charles Chaplin,,"Charles Chaplin,Virginia Cherrill,Florence Lee",8.6,"124,237"
The Intouchables,1h 52min,"Biography,Comedy,Drama",,"Olivier Nakache,Eric Toledano","François Cluzet,Omar Sy,Anne Le Ny",8.6,"583,693"
Modern Times,1h 27min,"Comedy,Drama,Family",Charles Chaplin,,"Charles Chaplin,Paulette Goddard,Henry Bergman",8.5,"163,325"
Indiana Jones and the Raiders of the Lost Ark,1h 55min,"Action,Adventure",Steven Spielberg,"Lawrence Kasdan,George Lucas","Harrison Ford,Karen Allen,Paul Freeman",8.5,"727,154"
The Pianist,2h 30min,"Biography,Drama,Music",Roman Polanski,"Ronald Harwood,Wladyslaw Szpilman","Adrien Brody,Thomas Kretschmann,Frank Finlay",8.5,"561,951"
The Departed,2h 31min,"Crime,Drama,Thriller",Martin Scorsese,"William Monahan,Alan Mak","Leonardo DiCaprio,Matt Damon,Jack Nicholson",8.5,"967,271"
Rear Window,1h 52min,"Mystery,Thriller",Alfred Hitchcock,"John Michael Hayes,Cornell Woolrich","James Stewart,Grace Kelly,Wendell Corey",8.5,"352,061"
Terminator 2: Judgment Day,2h 17min,"Action,Sci-Fi,Thriller",James Cameron,"James Cameron,William Wisher","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",8.5,"817,760"
Back to the Future,1h 56min,"Adventure,Comedy,Sci-Fi",Robert Zemeckis,"Robert Zemeckis,Bob Gale","Michael J. Fox,Christopher Lloyd,Lea Thompson",8.5,"821,531"
Whiplash,1h 47min,"Drama,Music",Damien Chazelle,,"Miles Teller,J.K. Simmons,Melissa Benoist",8.5,"508,866"
Gladiator,2h 35min,"Action,Adventure,Drama",Ridley Scott,"David Franzoni,David Franzoni","Russell Crowe,Joaquin Phoenix,Connie Nielsen",8.5,"1,086,628"
The Prestige,2h 10min,"Drama,Mystery,Sci-Fi",Christopher Nolan,"Jonathan Nolan,Christopher Nolan","Christian Bale,Hugh Jackman,Scarlett Johansson",8.5,"949,505"
De Leeuwenkoning,1h 28min,"Animation,Adventure,Drama",,"Irene Mecchi,Jonathan Roberts","Matthew Broderick,Jeremy Irons,James Earl Jones",8.5,"727,725"
Memento,1h 53min,"Mystery,Thriller",Christopher Nolan,"Christopher Nolan,Jonathan Nolan","Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",8.5,"934,298"
Apocalypse Now,2h 27min,"Drama,War",Francis Ford Coppola,"John Milius,Francis Ford Coppola","Martin Sheen,Marlon Brando,Robert Duvall",8.5,"493,851"
Alien,1h 57min,"Horror,Sci-Fi",Ridley Scott,"Dan O'Bannon,Ronald Shusett","Sigourney Weaver,Tom Skerritt,John Hurt",8.5,"637,387"
De dictator,2h 5min,"Comedy,Drama,War",Charles Chaplin,,"Charles Chaplin,Paulette Goddard,Jack Oakie",8.5,"156,173"
Sunset Blvd.,1h 50min,"Drama,Film-Noir",Billy Wilder,"Charles Brackett,Billy Wilder","William Holden,Gloria Swanson,Erich von Stroheim",8.5,"155,911"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35min,"Comedy,War",Stanley Kubrick,"Stanley Kubrick,Terry Southern","Peter Sellers,George C. Scott,Sterling Hayden",8.5,"376,085"
Nuovo Cinema Paradiso,2h 35min,Drama,Giuseppe Tornatore,"Giuseppe Tornatore,Giuseppe Tornatore","Philippe Noiret,Enzo Cannavale,Antonella Attili",8.5,"172,762"
Das Leben der Anderen,2h 17min,"Drama,Thriller",Florian Henckel von Donnersmarck,,"Ulrich Mühe,Martina Gedeck,Sebastian Koch",8.5,"287,422"
Hotaru no haka,1h 29min,"Animation,Drama,War",Isao Takahata,"Akiyuki Nosaka,Isao Takahata","Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",8.5,"162,282"
Paths of Glory,1h 28min,"Drama,War",Stanley Kubrick,"Stanley Kubrick,Calder Willingham","Kirk Douglas,Ralph Meeker,Adolphe Menjou",8.4,"135,747"
Django Unchained,2h 45min,"Drama,Western",Quentin Tarantino,,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",8.4,"1,077,258"
The Shining,2h 26min,"Drama,Horror",Stanley Kubrick,"Stephen King,Stanley Kubrick","Jack Nicholson,Shelley Duvall,Danny Lloyd",8.4,"685,281"
Blade Runner 2049,2h 44min,"Mystery,Sci-Fi,Thriller",Denis Villeneuve,"Hampton Fancher,Michael Green","Harrison Ford,Ryan Gosling,Ana de Armas",8.5,"134,501"
WALL·E,1h 38min,"Animation,Adventure,Family",Andrew Stanton,"Andrew Stanton,Pete Docter","Ben Burtt,Elissa Knight,Jeff Garlin",8.4,"804,338"
American Beauty,2h 2min,"Drama,Romance",Sam Mendes,,"Kevin Spacey,Annette Bening,Thora Birch",8.4,"904,310"
